transnational_regions,time,tp,realization
11,1968-05-01,77.03041054683972,0
11,1968-06-01,43.507961194094925,0
11,1968-07-01,34.28013393371494,0
11,1968-08-01,64.92962673930744,0
11,1968-09-01,54.18235734525352,0
11,1968-10-01,41.06654643105666,0
11,1968-11-01,107.0021901653169,0
11,1968-12-01,90.82014412089457,0
11,1969-01-01,85.27046096551561,0
11,1969-02-01,93.7398401860734,0
11,1969-03-01,129.06686942071428,0
11,1969-04-01,100.8629484174131,0
11,1969-05-01,92.98022655361899,0
11,1969-06-01,62.96827204322376,0
11,1969-07-01,30.50570932012662,0
11,1969-08-01,40.00785050200935,0
11,1969-09-01,104.04524071459991,0
11,1969-10-01,72.54200526792836,0
11,1969-11-01,94.19679878950333,0
11,1969-12-01,77.0195553656134,0
11,1970-01-01,175.10001323235534,0
11,1970-02-01,52.66834398720775,0
11,1970-03-01,58.23883157288611,0
11,1970-04-01,48.724167525778924,0
11,1970-05-01,73.3465958690494,0
11,1970-06-01,78.16951496174345,0
11,1970-07-01,25.52263604452257,0
11,1970-08-01,48.77160000426487,0
11,1970-09-01,26.152831143651582,0
11,1970-10-01,49.459057018116056,0
11,1970-11-01,74.06864640232821,0
11,1970-12-01,49.58810415056635,0
11,1971-01-01,107.48354277421836,0
11,1971-02-01,36.28905316370857,0
11,1971-03-01,82.46265262541783,0
11,1971-04-01,126.39308012876168,0
11,1971-05-01,149.51608509966314,0
11,1971-06-01,81.64279614321897,0
11,1971-07-01,74.60909306253261,0
11,1971-08-01,58.00700823735841,0
11,1971-09-01,54.487313036118294,0
11,1971-10-01,40.15823471940657,0
11,1971-11-01,70.19508830472286,0
11,1971-12-01,72.76408458309302,0
11,1972-01-01,111.39165686538163,0
11,1972-02-01,132.4488175925776,0
11,1972-03-01,91.21489547545625,0
11,1972-04-01,62.15097494013196,0
11,1972-05-01,79.81528029627286,0
11,1972-06-01,68.10164417331153,0
11,1972-07-01,49.40859825031997,0
11,1972-08-01,70.34157241475734,0
11,1972-09-01,99.02332499199659,0
11,1972-10-01,120.96760316313458,0
11,1972-11-01,79.62048946939439,0
11,1972-12-01,79.2454896825788,0
11,1973-01-01,72.52507283407427,0
11,1973-02-01,48.58311131519807,0
11,1973-03-01,39.838999977892975,0
11,1973-04-01,44.758807565093704,0
11,1973-05-01,95.22012498207422,0
11,1973-06-01,72.95771642454798,0
11,1973-07-01,50.62111634378657,0
11,1973-08-01,37.86917198435266,0
11,1973-09-01,46.799385463712525,0
11,1973-10-01,68.46752706270313,0
11,1973-11-01,49.212919739321,0
11,1973-12-01,95.54536336582797,0
11,1974-01-01,77.23958672565554,0
11,1974-02-01,87.34121251343495,0
11,1974-03-01,102.59133924221615,0
11,1974-04-01,86.88317006307489,0
11,1974-05-01,60.4888807436008,0
11,1974-06-01,71.97570365403143,0
11,1974-07-01,31.625922056067715,0
11,1974-08-01,47.48198563638577,0
11,1974-09-01,58.19101819774227,0
11,1974-10-01,62.74465262298713,0
11,1974-11-01,77.24139987238523,0
11,1974-12-01,22.005301918721326,0
11,1975-01-01,62.522186272591654,0
11,1975-02-01,58.42305723332073,0
11,1975-03-01,110.8975674471405,0
11,1975-04-01,63.6717294262167,0
11,1975-05-01,91.70775998789216,0
11,1975-06-01,56.26762669443253,0
11,1975-07-01,16.760866081458197,0
11,1975-08-01,47.017752228164966,0
11,1975-09-01,77.61571046335892,0
11,1975-10-01,32.55791522481593,0
11,1975-11-01,66.17458415947848,0
11,1975-12-01,64.31104302754562,0
11,1976-01-01,33.86664165003977,0
11,1976-02-01,60.25253231803651,0
11,1976-03-01,44.61677342948605,0
