Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","353.4","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","383.8","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","602.4","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","690.9","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","459.8","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2024","2024","7021","Annual value","USD","449","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1991","1991","7021","Annual value","USD","418.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1992","1992","7021","Annual value","USD","372.5","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1993","1993","7021","Annual value","USD","377.9","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1994","1994","7021","Annual value","USD","364.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1995","1995","7021","Annual value","USD","372.8","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1996","1996","7021","Annual value","USD","388.6","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1997","1997","7021","Annual value","USD","505.2","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1998","1998","7021","Annual value","USD","543.1","A","Official figure"
"PP","Producer Prices","724","Spain","5532","Producer Price (USD/tonne)","01234","Tomatoes","1999","1999","7021","Annual value","USD","499.7","A","Official figure"
