time,axis_nbounds,lat,lon,time_bounds,pr
2048-05-16 12:00:00,0.5,40.56338,-2.5,2048-05-16 12:00:00,3.84395e-05
2048-06-16 00:00:00,0.5,40.56338,-2.5,2048-06-16 00:00:00,3.7683163e-05
2048-07-16 12:00:00,0.5,40.56338,-2.5,2048-07-16 12:00:00,3.4255012e-05
2049-04-16 00:00:00,0.5,40.56338,-2.5,2049-04-16 00:00:00,3.798748e-05
2049-05-16 12:00:00,0.5,40.56338,-2.5,2049-05-16 12:00:00,9.015947e-06
2049-06-16 00:00:00,0.5,40.56338,-2.5,2049-06-16 00:00:00,2.7111868e-05
2049-07-16 12:00:00,0.5,40.56338,-2.5,2049-07-16 12:00:00,3.149451e-05
2050-04-16 00:00:00,0.5,40.56338,-2.5,2050-04-16 00:00:00,2.7050026e-05
2050-05-16 12:00:00,0.5,40.56338,-2.5,2050-05-16 12:00:00,5.0844643e-05
2050-06-16 00:00:00,0.5,40.56338,-2.5,2050-06-16 00:00:00,3.596346e-05
2050-07-16 12:00:00,0.5,40.56338,-2.5,2050-07-16 12:00:00,4.2443673e-05
2051-04-16 00:00:00,0.5,40.56338,-2.5,2051-04-16 00:00:00,3.9204453e-05
2051-05-16 12:00:00,0.5,40.56338,-2.5,2051-05-16 12:00:00,3.053704e-05
2051-06-16 00:00:00,0.5,40.56338,-2.5,2051-06-16 00:00:00,4.690274e-05
2051-07-16 12:00:00,0.5,40.56338,-2.5,2051-07-16 12:00:00,8.419853e-05
2052-04-16 00:00:00,0.5,40.56338,-2.5,2052-04-16 00:00:00,4.5546014e-05
2052-05-16 12:00:00,0.5,40.56338,-2.5,2052-05-16 12:00:00,2.1309259e-05
2052-06-16 00:00:00,0.5,40.56338,-2.5,2052-06-16 00:00:00,2.7751388e-05
2052-07-16 12:00:00,0.5,40.56338,-2.5,2052-07-16 12:00:00,3.044892e-05
2053-04-16 00:00:00,0.5,40.56338,-2.5,2053-04-16 00:00:00,8.706266e-06
2053-05-16 12:00:00,0.5,40.56338,-2.5,2053-05-16 12:00:00,7.654938e-06
2053-06-16 00:00:00,0.5,40.56338,-2.5,2053-06-16 00:00:00,5.43224e-05
2053-07-16 12:00:00,0.5,40.56338,-2.5,2053-07-16 12:00:00,4.2023417e-05
2054-04-16 00:00:00,0.5,40.56338,-2.5,2054-04-16 00:00:00,1.25326405e-05
2054-05-16 12:00:00,0.5,40.56338,-2.5,2054-05-16 12:00:00,3.3470107e-05
2054-06-16 00:00:00,0.5,40.56338,-2.5,2054-06-16 00:00:00,4.1777952e-05
2054-07-16 12:00:00,0.5,40.56338,-2.5,2054-07-16 12:00:00,8.247866e-05
2055-04-16 00:00:00,0.5,40.56338,-2.5,2055-04-16 00:00:00,3.0707244e-05
2055-05-16 12:00:00,0.5,40.56338,-2.5,2055-05-16 12:00:00,1.2734459e-05
